fecha,licenciataria,demanda_millones_m3d
2021-02-02,Camuzzi Gas Pampeana,2.274825
2021-02-03,Litoral Gas,1.388715
2021-02-03,Naturgy BAN,3.22
2021-02-03,Distribuidora de Gas Cuyana,1.394451
2021-02-03,GasNea,0.135824
2021-02-03,MetroGAS,4.0171
2021-02-03,Camuzzi Gas del Sur,3.036487
2021-02-03,Camuzzi Gas Pampeana,2.082399
2021-02-03,Distribuidora de Gas del Centro,1.282987
2021-02-03,Naturgy NOA,1.63
2021-02-04,Naturgy NOA,1.56
2021-02-04,Naturgy BAN,3.38
2021-02-04,Distribuidora de Gas del Centro,1.104863
2021-02-04,Camuzzi Gas del Sur,2.790106
2021-02-04,Distribuidora de Gas Cuyana,1.115446
2021-02-04,Litoral Gas,1.2661
2021-02-04,GasNea,0.161285
2021-02-04,Camuzzi Gas Pampeana,2.05812
2021-02-04,MetroGAS,3.6137
2021-02-05,Distribuidora de Gas del Centro,1.003954
2021-02-05,GasNea,0.103305
2021-02-05,Litoral Gas,1.313794
2021-02-05,Distribuidora de Gas Cuyana,1.169444
2021-02-05,Naturgy NOA,1.63
2021-02-05,Naturgy BAN,3.31
2021-02-05,Camuzzi Gas del Sur,2.66183
2021-02-05,Camuzzi Gas Pampeana,1.997318
2021-02-05,MetroGAS,3.698
2021-02-06,Distribuidora de Gas del Centro,0.881075
2021-02-06,MetroGAS,2.8732
2021-02-06,GasNea,0.065366
2021-02-06,Naturgy NOA,1.28
2021-02-06,Litoral Gas,1.110755
2021-02-06,Camuzzi Gas del Sur,3.054718
2021-02-06,Camuzzi Gas Pampeana,2.233494
2021-02-06,Naturgy BAN,2.78
2021-02-06,Distribuidora de Gas Cuyana,1.093402
2021-02-07,Camuzzi Gas Pampeana,2.204504
2021-02-07,Naturgy BAN,2.44
2021-02-07,Naturgy NOA,1.28
2021-02-07,Distribuidora de Gas del Centro,0.748394
2021-02-07,Camuzzi Gas del Sur,3.042188
2021-02-07,Distribuidora de Gas Cuyana,0.876658
2021-02-07,MetroGAS,2.5326
2021-02-07,GasNea,0.210386
2021-02-07,Litoral Gas,0.776167
2021-02-08,Camuzzi Gas del Sur,3.013576
2021-02-08,Camuzzi Gas Pampeana,2.459734
2021-02-08,Naturgy NOA,1.47
2021-02-08,GasNea,0.156105
2021-02-08,MetroGAS,3.5569
2021-02-08,Naturgy BAN,3.24
2021-02-08,Distribuidora de Gas Cuyana,1.498691
2021-02-08,Distribuidora de Gas del Centro,1.005763
2021-02-08,Litoral Gas,1.333213
2021-02-09,MetroGAS,3.8151
2021-02-09,GasNea,0.186834
2021-02-09,Distribuidora de Gas Cuyana,1.199519
2021-02-09,Naturgy BAN,3.29
2021-02-09,Camuzzi Gas del Sur,2.645296
2021-02-09,Distribuidora de Gas del Centro,1.357666
2021-02-09,Litoral Gas,1.414387
2021-02-09,Naturgy NOA,1.48
2021-02-09,Camuzzi Gas Pampeana,2.34413
2021-02-10,MetroGAS,3.728
2021-02-10,Naturgy BAN,3.05
2021-02-10,Distribuidora de Gas del Centro,1.177543
2021-02-10,Naturgy NOA,1.52
2021-02-10,Distribuidora de Gas Cuyana,1.228937
2021-02-10,Camuzzi Gas del Sur,2.503624
2021-02-10,Camuzzi Gas Pampeana,2.264256
2021-02-10,GasNea,0.186834
2021-02-10,Litoral Gas,1.225582
2021-02-11,Camuzzi Gas del Sur,2.601652
2021-02-11,Naturgy BAN,3.26
2021-02-11,Camuzzi Gas Pampeana,1.997944
2021-02-11,Litoral Gas,1.23679
2021-02-11,MetroGAS,3.8585
2021-02-11,Naturgy NOA,1.53
2021-02-11,GasNea,0.186834
2021-02-11,Distribuidora de Gas del Centro,1.115804
2021-02-11,Distribuidora de Gas Cuyana,1.444158
2021-02-12,Distribuidora de Gas del Centro,1.437
2021-02-12,Naturgy BAN,3.23
2021-02-12,Distribuidora de Gas Cuyana,1.222124
2021-02-12,Camuzzi Gas del Sur,2.626883
2021-02-12,GasNea,0.205365
2021-02-12,Naturgy NOA,1.61
2021-02-12,Camuzzi Gas Pampeana,2.243447
2021-02-12,Litoral Gas,1.258092
2021-02-12,MetroGAS,3.7624
2021-02-13,Camuzzi Gas del Sur,2.984986
2021-02-13,Naturgy BAN,2.87
2021-02-13,Camuzzi Gas Pampeana,2.275741
2021-02-13,Naturgy NOA,1.39
2021-02-13,Distribuidora de Gas Cuyana,1.361734
2021-02-13,Distribuidora de Gas del Centro,1.097
2021-02-13,GasNea,0.177458
2021-02-13,Litoral Gas,0.784164
2021-02-13,MetroGAS,3.0642
2021-02-14,GasNea,0.092893
2021-02-14,Naturgy BAN,2.51
2021-02-14,Distribuidora de Gas Cuyana,0.996888
2021-02-14,Distribuidora de Gas del Centro,0.854253
2021-02-14,MetroGAS,2.6782
2021-02-14,Camuzzi Gas del Sur,3.232498
2021-02-14,Camuzzi Gas Pampeana,2.173969
2021-02-14,Naturgy NOA,1.18
2021-02-14,Litoral Gas,0.413882
2021-02-15,Naturgy NOA,1.22
2021-02-15,GasNea,0.097667
2021-02-15,Litoral Gas,0.191234
2021-02-15,Camuzzi Gas Pampeana,2.249113
2021-02-15,Distribuidora de Gas Cuyana,1.16054
2021-02-15,Camuzzi Gas del Sur,2.770096
2021-02-15,MetroGAS,2.845
2021-02-15,Distribuidora de Gas del Centro,0.919342
2021-02-15,Naturgy BAN,2.62
2021-02-16,Naturgy BAN,2.87
2021-02-16,Camuzzi Gas Pampeana,2.249071
2021-02-16,Camuzzi Gas del Sur,2.943841
2021-02-16,Naturgy NOA,1.19
2021-02-16,GasNea,0.155795
2021-02-16,MetroGAS,3.1016
2021-02-16,Distribuidora de Gas del Centro,0.753324
2021-02-16,Distribuidora de Gas Cuyana,1.465184
2021-02-16,Litoral Gas,0.711434
2021-02-17,GasNea,0.173955
2021-02-17,Distribuidora de Gas del Centro,1.019846
2021-02-17,MetroGAS,4.5903
2021-02-17,Distribuidora de Gas Cuyana,1.351198
2021-02-17,Naturgy BAN,3.3
2021-02-17,Litoral Gas,1.120899
2021-02-17,Camuzzi Gas Pampeana,1.976083
2021-02-17,Camuzzi Gas del Sur,2.947256
2021-02-17,Naturgy NOA,1.26
2021-02-18,MetroGAS,3.3875
2021-02-18,Camuzzi Gas del Sur,3.727766
2021-02-18,Distribuidora de Gas del Centro,0.929031
2021-02-18,Naturgy BAN,3.12
2021-02-18,Camuzzi Gas Pampeana,2.192078
2021-02-18,GasNea,0.176445
2021-02-18,Distribuidora de Gas Cuyana,1.298
2021-02-18,Litoral Gas,1.097016
2021-02-18,Naturgy NOA,1.33
2021-02-19,Camuzzi Gas del Sur,4.902323
2021-02-19,Naturgy BAN,3.12
2021-02-19,Camuzzi Gas Pampeana,2.61004
2021-02-19,Naturgy NOA,1.34
2021-02-19,GasNea,0.17422
2021-02-19,Litoral Gas,1.148958
2021-02-19,Distribuidora de Gas del Centro,0.875543
2021-02-19,MetroGAS,3.412
2021-02-19,Distribuidora de Gas Cuyana,1.506601
2021-02-20,Distribuidora de Gas Cuyana,1.498154
2021-02-20,Naturgy NOA,1.38
2021-02-20,Distribuidora de Gas del Centro,1.037627
2021-02-20,Litoral Gas,0.970024
2021-02-20,GasNea,0.171889
2021-02-20,Camuzzi Gas del Sur,4.114967
2021-02-20,Camuzzi Gas Pampeana,2.531206
2021-02-20,MetroGAS,3.1937
2021-02-20,Naturgy BAN,3.21
2021-02-21,Naturgy NOA,1.08
2021-02-21,Camuzzi Gas Pampeana,1.74498
2021-02-21,Distribuidora de Gas del Centro,0.853601
2021-02-21,Camuzzi Gas del Sur,4.409793
2021-02-21,Litoral Gas,0.768924
2021-02-21,Naturgy BAN,2.74
2021-02-21,Distribuidora de Gas Cuyana,0.9979
2021-02-21,MetroGAS,2.9167
2021-02-21,GasNea,0.179674
2021-02-22,Camuzzi Gas del Sur,4.723444
2021-02-22,GasNea,0.246618
2021-02-22,Camuzzi Gas Pampeana,2.127425
2021-02-22,Naturgy NOA,1.18
2021-02-22,Litoral Gas,1.065326
2021-02-22,Distribuidora de Gas Cuyana,1.246961
2021-02-22,Distribuidora de Gas del Centro,0.849948
2021-02-22,MetroGAS,3.5095
2021-02-22,Naturgy BAN,3.35
2021-02-23,GasNea,0.141208
2021-02-23,Distribuidora de Gas Cuyana,1.282992
2021-02-23,MetroGAS,3.5613
2021-02-23,Naturgy BAN,3.32
2021-02-23,Litoral Gas,1.140214
2021-02-23,Distribuidora de Gas del Centro,1.066775
2021-02-23,Camuzzi Gas del Sur,4.35458
2021-02-23,Naturgy NOA,1.23
2021-02-23,Camuzzi Gas Pampeana,2.130057
2021-02-24,Camuzzi Gas Pampeana,2.367637
2021-02-24,Distribuidora de Gas del Centro,1.031284
2021-02-24,Naturgy NOA,1.19
2021-02-24,MetroGAS,3.5164
2021-02-24,Distribuidora de Gas Cuyana,1.174355
2021-02-24,Naturgy BAN,2.97
2021-02-24,Camuzzi Gas del Sur,3.739067
2021-02-24,GasNea,0.199378
2021-02-24,Litoral Gas,1.18067
2021-02-25,Litoral Gas,1.262273
2021-02-25,Naturgy BAN,2.86
2021-02-25,Naturgy NOA,1.22
2021-02-25,Distribuidora de Gas del Centro,0.955381
2021-02-25,MetroGAS,3.2991
2021-02-25,Camuzzi Gas Pampeana,1.792163
2021-02-25,Camuzzi Gas del Sur,3.668692
2021-02-25,GasNea,0.096382
2021-02-25,Distribuidora de Gas Cuyana,1.286628
2021-02-26,Camuzzi Gas del Sur,3.003968
2021-02-26,MetroGAS,3.8013
2021-02-26,Naturgy BAN,2.83
2021-02-26,Distribuidora de Gas del Centro,0.980073
2021-02-26,Distribuidora de Gas Cuyana,1.247682
2021-02-26,Camuzzi Gas Pampeana,1.896137
2021-02-26,Naturgy NOA,1.22
2021-02-26,GasNea,0.075557
2021-02-26,Litoral Gas,1.135692
2021-02-27,Naturgy BAN,2.74
